 * Serving Flask app "__main__" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:7000/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Jun/2018 14:05:37] "GET /v1/complain/twentyFour/list?starttime=&endtime=&type=EMOS HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:40] "GET /v1/upload/filelist?starttime=&endtime= HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:44] "GET /v1/installed/twentyFour/chart?starttime=&endtime=&type=%E8%A3%85%E6%9C%BA%E5%8F%8A%E6%97%B6%E7%8E%87 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:44] "GET /v1/label/work HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:44] "GET /v1/label/terminal/type HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:44] "GET /v1/label/terminal/model HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:45] "GET /v1/label/work HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:45] "GET /v1/label/terminal/type HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:45] "GET /v1/label/terminal/model HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:45] "GET /v1/label/people HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:45] "GET /v1/label/work HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:45] "GET /v1/label/terminal/model HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:46] "GET /v1/label/terminal/type HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:46] "GET /v1/label/people HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:46] "GET /v1/supplies/storage?page=1&size=10 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:05:49] "GET /v1/installed/twentyFour/list?starttime=&endtime=&type=%E5%85%A8%E9%87%8F%E5%B7%A5%E5%8D%95 HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:09:51] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:09:51] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:09:54] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:09:54] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:01] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:01] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:03] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:08] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:12] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:14] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:14] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:15] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:30] "POST /v1/phone/storage HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:10:37] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:11:02] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:11:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:11:18] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:13:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:15:26] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:15:27] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:15:28] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:15:29] "POST /v1/phone/token HTTP/1.0" 200 -
